"Order","Line","SO# line","Order date","Bill To Location","Ship To Location","Ordered Item"," ","Item Description"," ","Unit Selling Price","Extended Price","Status","*Order Date","Request Date","Promise Date","cs name","Order Type","RBO","unit","Packing Instruction"
"75686705","3.1","75686705-3","5-Apr","CONG TY TNHH GREENTECH HEADGEAR","GREENTECH HEADGEAR COMPANY LIMITED","CB557706A","CB557706A","PL.QUIKSILVER INC.20mm_BB CHILD BKTTA...NT7054A1R-1X..COLD CUT.BOOKLET FOLD..0000 WHITE..Black..Black .PMS Red 032C(Optional)","10000","0","0","Production Open","","14-Apr-22","","TERESANGUYEN............","VN GEN - VAT","QUIKSILVER","VND","0"
"75686705","4.1","75686705-4","5-Apr","CONG TY TNHH GREENTECH HEADGEAR","GREENTECH HEADGEAR COMPANY LIMITED","CB557706A","CB557706A","PL.QUIKSILVER INC.20mm_BB CHILD BKTTA...NT7054A1R-1X..COLD CUT.BOOKLET FOLD..0000 WHITE..Black..Black .PMS Red 032C(Optional)","10000","0","0","Production Open","","14-Apr-22","","TERESANGUYEN............","VN GEN - VAT","QUIKSILVER","VND","0"
"75686705","5.1","75686705-5","5-Apr","CONG TY TNHH GREENTECH HEADGEAR","GREENTECH HEADGEAR COMPANY LIMITED","CB557708A","CB557708A","PL.QUIKSILVER INC.20mm_BB CHILD SPTA...NT7054A1R-1X..COLD CUT.CUT SINGLE..0000 WHITE..Black..Black .PMS Red 032C(Optional)","10000","0","0","Production Open","","14-Apr-22","","TERESANGUYEN............","VN GEN - VAT","QUIKSILVER","VND","0"
"75686705","6.1","75686705-6","5-Apr","CONG TY TNHH GREENTECH HEADGEAR","GREENTECH HEADGEAR COMPANY LIMITED","VN FREIGHT CHARGE 1","VN FREIGHT CHARGE 1","VN FREIGHT CHARGE 1","50000","11","550000","Awaiting Fulfillment","","14-Apr-22","","TERESANGUYEN............","VN GEN - VAT","QUIKSILVER","VND","0"
"75686760","1.1","75686760-1","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3402","1-274083-000-00","NIKE SWIM.ISN3402.Nike Swim Canada UPC......","4651","0.018","83.72","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","2.1","75686760-2","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","4651","0.001","4.65","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","3.1","75686760-3","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3402","1-274083-000-00","NIKE SWIM.ISN3402.Nike Swim Canada UPC......","4192","0.018","75.46","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","4.1","75686760-4","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","4192","0.001","4.19","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","5.1","75686760-5","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3403","1-274082-000-00","NIKE SWIM.ISN3403.Nike Swim USA UPC......","21600","0.018","388.8","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","6.1","75686760-6","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","21600","0.001","21.6","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","7.1","75686760-7","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3403","1-274082-000-00","NIKE SWIM.ISN3403.Nike Swim USA UPC......","7200","0.018","129.6","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","8.1","75686760-8","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","7200","0.001","7.2","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","9.1","75686760-9","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3403","1-274082-000-00","NIKE SWIM.ISN3403.Nike Swim USA UPC......","2490","0.018","44.82","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","10.1","75686760-10","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","2490","0.001","2.49","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","11.1","75686760-11","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3403","1-274082-000-00","NIKE SWIM.ISN3403.Nike Swim USA UPC......","8140","0.018","146.52","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","12.1","75686760-12","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","8140","0.001","8.14","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","13.1","75686760-13","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3403","1-274082-000-00","NIKE SWIM.ISN3403.Nike Swim USA UPC......","498","0.018","8.96","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","14.1","75686760-14","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","498","0.001","0.5","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","15.1","75686760-15","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3403","1-274082-000-00","NIKE SWIM.ISN3403.Nike Swim USA UPC......","402","0.018","7.24","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","16.1","75686760-16","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","402","0.001","0.4","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","17.1","75686760-17","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3403","1-274082-000-00","NIKE SWIM.ISN3403.Nike Swim USA UPC......","6354","0.018","114.37","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","18.1","75686760-18","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","6354","0.001","6.35","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","19.1","75686760-19","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3404","1-274084-000-00","NIKE SWIM.ISN3404.Nike Swim Mexico/Central Ameri......","744","0.017","12.65","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","20.1","75686760-20","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","744","0.001","0.74","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","21.1","75686760-21","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3404","1-274084-000-00","NIKE SWIM.ISN3404.Nike Swim Mexico/Central Ameri......","1584","0.017","26.93","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","22.1","75686760-22","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","1584","0.001","1.58","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","23.1","75686760-23","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3404","1-274084-000-00","NIKE SWIM.ISN3404.Nike Swim Mexico/Central Ameri......","190","0.017","3.23","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","24.1","75686760-24","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","190","0.001","0.19","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","25.1","75686760-25","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3424","1-250780-000-01","NIKE SWIM.ISN3424.NIKE SWIM KOREA UPC STICKER......","641","0.0275","17.63","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","26.1","75686760-26","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","641","0.001","0.64","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","27.1","75686760-27","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","ISN3434","1-274086-000-00","NIKE SWIM.ISN3434.NIKE SWIM STANDARD ENGLISH NO ......","231","0.0275","6.35","Production Open","","18-Apr-22","18-Apr-22","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686760","28.1","75686760-28","5-Apr","Seyang Corporation","SEYANG CORPORATION VIETNAM","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","231","0.001","0.23","Awaiting Fulfillment","","18-Apr-22","","0149356............","VN GEN","NIKE INC","USD","HANGLE"
"75686643","1.1","75686643-1","5-Apr","HANSAE CO LTD","HANSAE HCM Co.,Ltd","AR01-SU21","1-281025-004-00","GAP INC.AR01-SU21..GPM.....","60","0","0","Production Open","","14-Apr-22","16-Apr-22","0137087............","VN SAM","GAP INC","USD","LAY 10 pcs/SIZE LAM SAMPLE-dong goi trong bao nilon/Phong bi-DAY la SO# sample cua SO#75686498"
"75686643","2.1","75686643-2","5-Apr","HANSAE CO LTD","HANSAE HCM Co.,Ltd","AR01-SU21","1-281025-004-00","GAP INC.AR01-SU21..GPM.....","120","0","0","Production Open","","14-Apr-22","16-Apr-22","0137087............","VN SAM","GAP INC","USD","LAY 10 pcs/SIZE LAM SAMPLE-dong goi trong bao nilon/Phong bi-DAY la SO# sample cua SO#75686498"
"75686688","1.1","75686688-1","5-Apr","ALPINE CREATIONS PTE LTD","THIEN AN PHAT TEXTILE INVESTMENT","WMPOLYBAGSTK 2x1","1-127742-001-00","WALMART.WMPOLYBAGSTK 2x1..Bigger barcode size.....","3122","0.00731","22.82","Production Open","","12-Apr-22","12-Apr-22","0134901............","VN GEN","WALMART","USD","0"
"75686688","2.1","75686688-2","5-Apr","ALPINE CREATIONS PTE LTD","THIEN AN PHAT TEXTILE INVESTMENT","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","3122","0.001","3.12","Awaiting Fulfillment","","12-Apr-22","12-Apr-22","0134901............","VN GEN","WALMART","USD","0"
"75686966","1.1","75686966-1","5-Apr","OKTAVA LTD (36/F, Tower Two)","Tay Son Garment Joint Stock Co","PW06861","WZ085850A","WL.KF2562-PW06861.MARKS & SPENCER.PW06861......END FOLD.SEP..144.","2360","0.01949","46","Production Open","","22-Apr-22","25-Apr-22","KHOAQUACH............","VN GEN","MARKS & SPENCER SOLD TO","USD","0"
"75686633","1.1","75686633-1","5-Apr","NOBLAND INTERNATIONAL","PUKU VIET NAM CO.,LTD/Dong An IP, Thuan","104514002SV","WZ399770A","WL.KH7018.KOHLS.104514002SV......MITRE FOLD.SES..144.SVVW (Kohl's)","67700","0.02217","1500.91","Production Open","","20-Apr-22","28-Apr-22","0137276............","VN GEN","KOHL'S DEPARTMENT STORE","USD","0"
"75686633","2.1","75686633-2","5-Apr","NOBLAND INTERNATIONAL","PUKU VIET NAM CO.,LTD/Dong An IP, Thuan","38834011SV-RCY","WZ491520A","WL.KC4865-2-CODE.KOHLS.38834011SV-RCY......CENTRE FOLD LOOP.SES..192.SVVW (Kohl's)","65890","0.01369","902.03","Production Open","","20-Apr-22","28-Apr-22","0137276............","VN GEN","KOHL'S DEPARTMENT STORE","USD","0"
"75686633","3.1","75686633-3","5-Apr","NOBLAND INTERNATIONAL","PUKU VIET NAM CO.,LTD/Dong An IP, Thuan","38834011SV-RCY","WZ491520A","WL.KC4865-2-CODE.KOHLS.38834011SV-RCY......CENTRE FOLD LOOP.SES..192.SVVW (Kohl's)","655","0.01369","8.97","Production Open","","20-Apr-22","28-Apr-22","0137276............","VN GEN","KOHL'S DEPARTMENT STORE","USD","0"
"75686633","4.1","75686633-4","5-Apr","NOBLAND INTERNATIONAL","PUKU VIET NAM CO.,LTD/Dong An IP, Thuan","38834011SV-RCY","WZ491520A","WL.KC4865-2-CODE.KOHLS.38834011SV-RCY......CENTRE FOLD LOOP.SES..192.SVVW (Kohl's)","1155","0.01369","15.81","Production Open","","20-Apr-22","28-Apr-22","0137276............","VN GEN","KOHL'S DEPARTMENT STORE","USD","0"
"75686649","1.1","75686649-1","5-Apr","NOBLAND INTERNATIONAL","PUKU VIET NAM CO.,LTD/Dong An IP, Thuan","100316029SN-WHT_Nobland","ATV622526","HT.KOHLS.100316029SN-WHT_Nobland.Industrial (ID)...CUT SINGLES.SONOMA (Kohl's).HOT.WHITE.","34380","0.02351","808.27","Production Open","","15-Apr-22","19-Apr-22","0137276............","VN GEN","KOHL'S DEPARTMENT STORE","USD"," LAM THEO LAYOUT DINH KEM"
"75686649","2.1","75686649-2","5-Apr","NOBLAND INTERNATIONAL","PUKU VIET NAM CO.,LTD/Dong An IP, Thuan","44993003SN-WHITE-AG","AT373691A","HT.KOHL'S DEPARTMENT STORE.44993003SN-WHITE-AG.Agility.Care Content..CUT SINGLES.SONOMA.HOT.WHITE.","34380","0.00881","302.89","Production Open","","15-Apr-22","19-Apr-22","0137276............","VN GEN","KOHL'S DEPARTMENT STORE","USD"," LAM THEO LAYOUT DINH KEM"
"75686606","1.1","75686606-1","5-Apr","GREAT ASCENT TRADING LIMITED","Cty TNHH giay Rollsport Viet Nam","ST-UAKOHLS","1-234028-000-00","UNDER ARMOUR/K P SPORTS.ST-UAKOHLS..Kohls UA Shoebox ID.....","606","0.008","4.85","Production Open","","15-Apr-22","","0136369............","VN GEN","UNDER ARMOUR/K P SPORTS","USD","0"
"75686603","1.1","75686603-1","5-Apr","GREAT ASCENT TRADING LIMITED","Cty TNHH giay Rollsport Viet Nam","ST-UAKOHLS","1-234028-000-00","UNDER ARMOUR/K P SPORTS.ST-UAKOHLS..Kohls UA Shoebox ID.....","569","0.008","4.55","Production Open","","15-Apr-22","","0136369............","VN GEN","UNDER ARMOUR/K P SPORTS","USD","0"
"75686683","1.1","75686683-1","5-Apr","HANSAE CO LTD","Hansae Vietnam Co., Ltd","GOLA-146541","CB377957A","PL.GAP OUTLET ST.GOLA-146541.SP17 with Franchise.....COLD CUT SINGLE PLY.Compliance Label.White.BLACK.","4180","0.004","16.72","Production Open","","14-Apr-22","","0137087............","VN GEN","GAP INC","USD","0"
"75686683","2.1","75686683-2","5-Apr","HANSAE CO LTD","Hansae Vietnam Co., Ltd","GOLA-146541","CB377957A","PL.GAP OUTLET ST.GOLA-146541.SP17 with Franchise.....COLD CUT SINGLE PLY.Compliance Label.White.BLACK.","5070","0.004","20.28","Production Open","","14-Apr-22","","0137087............","VN GEN","GAP INC","USD","0"
"75686600","1.1","75686600-1","5-Apr","GREAT ASCENT TRADING LIMITED","Cty TNHH giay Rollsport Viet Nam","ST-UAKOHLS","1-234028-000-00","UNDER ARMOUR/K P SPORTS.ST-UAKOHLS..Kohls UA Shoebox ID.....","742","0.008","5.94","Production Open","","15-Apr-22","","0136369............","VN GEN","UNDER ARMOUR/K P SPORTS","USD","0"
"75686595","1.1","75686595-1","5-Apr","GREAT ASCENT TRADING LIMITED","Cty TNHH giay Rollsport Viet Nam","ST-UAKOHLS","1-234028-000-00","UNDER ARMOUR/K P SPORTS.ST-UAKOHLS..Kohls UA Shoebox ID.....","1447","0.008","11.58","Production Open","","15-Apr-22","","0136369............","VN GEN","UNDER ARMOUR/K P SPORTS","USD","0"
"75686593","1.1","75686593-1","5-Apr","GREAT ASCENT TRADING LIMITED","Cty TNHH giay Rollsport Viet Nam","ST-UAKOHLS","1-234028-000-00","UNDER ARMOUR/K P SPORTS.ST-UAKOHLS..Kohls UA Shoebox ID.....","520","0.008","4.16","Production Open","","15-Apr-22","","0136369............","VN GEN","UNDER ARMOUR/K P SPORTS","USD","0"
"75686628","1.1","75686628-1","5-Apr","MARKET FIT INDOCHINE LIMITED","MARKET FIT INDOCHINE","KIACARE_W22","P650837A","PL.KIABI.KIACARE_W22.....COLD CUT.CENTER FOLD..WHITE..BLACK C..BLACK C","2","0","0","Production Open","","15-Apr-22","","0141244............","VN SAM","KIABI","USD","LAY SAMPLE 2 PCS/SKU"
"75686628","2.1","75686628-2","5-Apr","MARKET FIT INDOCHINE LIMITED","MARKET FIT INDOCHINE","KIACARE_W22 ADD 115mm","P650838A","PL.KIABI.KIACARE_W22 ADD 115mm.....COLD CUT.CUT SINGLE..WHITE..BLACK C..BLACK C","2","0","0","Production Open","","15-Apr-22","","0141244............","VN SAM","KIABI","USD","LAY SAMPLE 2 PCS/SKU"
"75686589","1.1","75686589-1","5-Apr","GREAT ASCENT TRADING LIMITED","Cty TNHH giay Rollsport Viet Nam","ST-UAKOHLS","1-234028-000-00","UNDER ARMOUR/K P SPORTS.ST-UAKOHLS..Kohls UA Shoebox ID.....","1304","0.008","10.43","Production Open","","15-Apr-22","","0136369............","VN GEN","UNDER ARMOUR/K P SPORTS","USD","0"
"75686587","1.1","75686587-1","5-Apr","GREAT ASCENT TRADING LIMITED","Cty TNHH giay Rollsport Viet Nam","ST-UAKOHLS","1-234028-000-00","UNDER ARMOUR/K P SPORTS.ST-UAKOHLS..Kohls UA Shoebox ID.....","1447","0.008","11.58","Production Open","","15-Apr-22","","0136369............","VN GEN","UNDER ARMOUR/K P SPORTS","USD","0"
"75686583","1.1","75686583-1","5-Apr","GREAT ASCENT TRADING LIMITED","Cty TNHH giay Rollsport Viet Nam","ST-UAKOHLS","1-234028-000-00","UNDER ARMOUR/K P SPORTS.ST-UAKOHLS..Kohls UA Shoebox ID.....","1447","0.008","11.58","Production Open","","15-Apr-22","","0136369............","VN GEN","UNDER ARMOUR/K P SPORTS","USD","0"
"75686581","1.1","75686581-1","5-Apr","GREAT ASCENT TRADING LIMITED","Cty TNHH giay Rollsport Viet Nam","ST-UAKOHLS","1-234028-000-00","UNDER ARMOUR/K P SPORTS.ST-UAKOHLS..Kohls UA Shoebox ID.....","1304","0.008","10.43","Production Open","","15-Apr-22","","0136369............","VN GEN","UNDER ARMOUR/K P SPORTS","USD","0"
"75686575","1.1","75686575-1","5-Apr","GREAT ASCENT TRADING LIMITED","Cty TNHH giay Rollsport Viet Nam","ST-UAKOHLS","1-234028-000-00","UNDER ARMOUR/K P SPORTS.ST-UAKOHLS..Kohls UA Shoebox ID.....","1447","0.008","11.58","Production Open","","15-Apr-22","","0136369............","VN GEN","UNDER ARMOUR/K P SPORTS","USD","0"
"75686573","1.1","75686573-1","5-Apr","GREAT ASCENT TRADING LIMITED","Cty TNHH giay Rollsport Viet Nam","ST-UAKOHLS","1-234028-000-00","UNDER ARMOUR/K P SPORTS.ST-UAKOHLS..Kohls UA Shoebox ID.....","2374","0.008","18.99","Production Open","","15-Apr-22","","0136369............","VN GEN","UNDER ARMOUR/K P SPORTS","USD","0"
"75686638","1.1","75686638-1","5-Apr","CHUNG JYE SHOES HOLDINGS LIMITED TAIWAN","CTY TNHH GIAY CHUNG JYE NINH BINH - VN","VAS sticker","1-290374-000-00","NEW BALANCE ATHLETICS INC.VAS sticker.na -.VAS sticker.....","307","0.14241","43.72","Production Open","","12-Apr-22","12-Apr-22","0140893............","VN GEN","NEW BALANCE","USD","0"
"75686638","2.1","75686638-2","5-Apr","CHUNG JYE SHOES HOLDINGS LIMITED TAIWAN","CTY TNHH GIAY CHUNG JYE NINH BINH - VN","VAS sticker","1-290374-000-00","NEW BALANCE ATHLETICS INC.VAS sticker.na -.VAS sticker.....","300","0.14241","42.72","Production Open","","12-Apr-22","12-Apr-22","0140893............","VN GEN","NEW BALANCE","USD","0"
"75686570","1.1","75686570-1","5-Apr","I APPAREL INTERNATIONAL GROUP PTE LTD","IK APPAREL CO. LTD","94561010LCO","1-285951-000-00","KOHLS.94561010LCO.Bright White Uncoated FSC Cert......","105","0","0","Production Open","","15-Apr-22","16-Apr-22","0139126............","VN SAM","KOHL'S DEPARTMENT STORE","USD","LAY SAMPLE 15 PCS/SIZE."
"75686539","1.1","75686539-1","5-Apr","HANSAE CO LTD","IVORY TRIEU SON THANH HOA CO","GSTK-265740-G-S4905","1-265640-000-02","GAP INC.GSTK-265740-G..GPM.....","18409","0.0106","195.14","Production Open","","16-Apr-22","16-Apr-22","0141017............","VN GEN","GAP INC","USD","0"
"75686539","2.1","75686539-2","5-Apr","HANSAE CO LTD","IVORY TRIEU SON THANH HOA CO","VN FREIGHT CHARGE","VN FREIGHT CHARGE","VN FREIGHT CHARGE","18409","0.001","18.41","Awaiting Fulfillment","","16-Apr-22","16-Apr-22","0141017............","VN GEN","GAP INC","USD","0"
"75686594","1.1","75686594-1","5-Apr","HANSAE CO LTD_YEOUIDO-DONG,5F-29","Ha Phong Export Garment JS","GAP-188658-PFL-B-FA22","CB651139A","PL.GAP INC.GAP-188658-PFL-B-FA22.GAP-188658-PFL-B....SONIC CUT.BOOKLET FOLD..0000 White..Black..Black","5476","0.012","65.71","Production Open","","12-Apr-22","","0145068............","VN QR","GAP INC","USD","0"
"75686594","2.1","75686594-2","5-Apr","HANSAE CO LTD_YEOUIDO-DONG,5F-29","Ha Phong Export Garment JS","GAP-188658-PFL-EB-FA22","CB651179A","PL.GAP INC.GAP-188658-PFL-EB-FA22.GAP-188658-PFL-EB....SONIC CUT.BOOKLET FOLD..0000 White.66-10-9-2019.Black.66-10-9-2019.Black","5476","0.012","65.71","Production Open","","12-Apr-22","","0145068............","VN QR","GAP INC","USD","0"
"75686594","3.1","75686594-3","5-Apr","HANSAE CO LTD_YEOUIDO-DONG,5F-29","Ha Phong Export Garment JS","GAP-188658-PFL-EB-FA22","CB651179A","PL.GAP INC.GAP-188658-PFL-EB-FA22.GAP-188658-PFL-EB....SONIC CUT.BOOKLET FOLD..0000 White.66-10-9-2019.Black.66-10-9-2019.Black","5476","0.012","65.71","Production Open","","12-Apr-22","","0145068............","VN QR","GAP INC","USD","0"
"75686594","4.1","75686594-4","5-Apr","HANSAE CO LTD_YEOUIDO-DONG,5F-29","Ha Phong Export Garment JS","GAP-188658-PFL-ES-FA22","CB651159A","PL.GAP INC.GAP-188658-PFL-ES-FA22.GAP-188658-PFL-ES....SONIC CUT.CUT SINGLE..0000 White.66-10-9-2019.Black.66-10-9-2019.Black(Optional)","5476","0.007","38.33","Production Open","","12-Apr-22","","0145068............","VN QR","GAP INC","USD","0"
"75686620","1.1","75686620-1","5-Apr","NOBLAND INTERNATIONAL","PUKU VIET NAM CO.,LTD/Dong An IP, Thuan","95197002MB","CB578343A","PL.KOHLS.95197002MB...WER181026-9..SONIC CUT.CUT SINGLE.GENERIC (Kohl's).DYED..WHITE..WHITE","67700","0.01029","696.63","Production Open","","14-Apr-22","","0137276............","VN GEN","KOHL'S DEPARTMENT STORE","USD","0"
"75686523","1.1","75686523-1","5-Apr","HANSAE CO LTD","HANSAE HCM Co.,Ltd","AR01-SU21","1-281025-004-00","GAP INC.AR01-SU21..GPM.....","60","0","0","Production Open","","14-Apr-22","16-Apr-22","0137087............","VN SAM","GAP INC","USD","LAY 10 pcs/SIZE LAM SAMPLE-dong goi trong bao nilon/Phong bi-DAY la SO# sample cua SO#75686468"
"75686499","1.1","75686499-1","5-Apr","HANSAE CO LTD","Ha Phong Export Garment JS","AR01-SU21","1-281025-004-00","GAP INC.AR01-SU21..GPM.....","275","0.0125","3.44","Production Open","","14-Apr-22","16-Apr-22","0137087............","VN QR","GAP INC","USD","0"
"75686498","1.1","75686498-1","5-Apr","HANSAE CO LTD","Ha Phong Export Garment JS","AR01-SU21","1-281025-004-00","GAP INC.AR01-SU21..GPM.....","845","0.0125","10.56","Production Open","","14-Apr-22","16-Apr-22","0137087............","VN QR","GAP INC","USD","0"
"75686498","2.1","75686498-2","5-Apr","HANSAE CO LTD","Ha Phong Export Garment JS","AR01-SU21","1-281025-004-00","GAP INC.AR01-SU21..GPM.....","910","0.0125","11.38","Production Open","","14-Apr-22","16-Apr-22","0137087............","VN QR","GAP INC","USD","0"
"75686493","1.1","75686493-1","5-Apr","SANG WOO CO.LTD.","ON TIME MFG INC.","GAP-188658-PFL-B-FA22","CB651139A","PL.GAP INC.GAP-188658-PFL-B-FA22.GAP-188658-PFL-B....SONIC CUT.BOOKLET FOLD..0000 White..Black..Black","2450","0.01817","44.52","Production Open","","14-Apr-22","","0136883............","VN GEN","GAP INC","USD","0"
"75686493","2.1","75686493-2","5-Apr","SANG WOO CO.LTD.","ON TIME MFG INC.","GAP-188658-PFL-EB-FA22","CB651179A","PL.GAP INC.GAP-188658-PFL-EB-FA22.GAP-188658-PFL-EB....SONIC CUT.BOOKLET FOLD..0000 White.66-10-9-2019.Black.66-10-9-2019.Black","2450","0.01817","44.52","Production Open","","14-Apr-22","","0136883............","VN GEN","GAP INC","USD","0"
"75686493","3.1","75686493-3","5-Apr","SANG WOO CO.LTD.","ON TIME MFG INC.","GAP-188658-PFL-B-FA22","CB651139A","PL.GAP INC.GAP-188658-PFL-B-FA22.GAP-188658-PFL-B....SONIC CUT.BOOKLET FOLD..0000 White..Black..Black","1090","0.01817","19.81","Production Open","","14-Apr-22","","0136883............","VN GEN","GAP INC","USD","0"
"75686493","4.1","75686493-4","5-Apr","SANG WOO CO.LTD.","ON TIME MFG INC.","GAP-188658-PFL-EB-FA22","CB651179A","PL.GAP INC.GAP-188658-PFL-EB-FA22.GAP-188658-PFL-EB....SONIC CUT.BOOKLET FOLD..0000 White.66-10-9-2019.Black.66-10-9-2019.Black","1090","0.01817","19.81","Production Open","","14-Apr-22","","0136883............","VN GEN","GAP INC","USD","0"
"75686493","5.1","75686493-5","5-Apr","SANG WOO CO.LTD.","ON TIME MFG INC.","GAP-188658-PFL-B-FA22","CB651139A","PL.GAP INC.GAP-188658-PFL-B-FA22.GAP-188658-PFL-B....SONIC CUT.BOOKLET FOLD..0000 White..Black..Black","200","0.01817","3.63","Production Open","","14-Apr-22","","0136883............","VN GEN","GAP INC","USD","0"
